Starter,Tm,Year,PlID,TmID
BenRoethlisberger,PIT,2021,BenRoethlisberger2021,PIT2021
RussellWilson,SEA,2021,RussellWilson2021,SEA2021
JimmyGaroppolo,SFO,2021,JimmyGaroppolo2021,SFO2021
TomBrady,TAM,2021,TomBrady2021,TAM2021
RyanTannehill,TEN,2021,RyanTannehill2021,TEN2021
TaylorHeinicke,WAS,2021,TaylorHeinicke2021,WAS2021
KylerMurray,ARI,2022,KylerMurray2022,ARI2022
MarcusMariota,ATL,2022,MarcusMariota2022,ATL2022
LamarJackson,BAL,2022,LamarJackson2022,BAL2022
JoshAllen,BUF,2022,JoshAllen2022,BUF2022
BakerMayfield,CAR,2022,BakerMayfield2022,CAR2022
JustinFields,CHI,2022,JustinFields2022,CHI2022
JoeBurrow,CIN,2022,JoeBurrow2022,CIN2022
DeshaunWatson,CLE,2022,DeshaunWatson2022,CLE2022
DakPrescott,DAL,2022,DakPrescott2022,DAL2022
RussellWilson,DEN,2022,RussellWilson2022,DEN2022
JaredGoff,DET,2022,JaredGoff2022,DET2022
AaronRodgers,GNB,2022,AaronRodgers2022,GNB2022
DavisMills,HOU,2022,DavisMills2022,HOU2022
MattRyan,IND,2022,MattRyan2022,IND2022
TrevorLawrence,JAX,2022,TrevorLawrence2022,JAX2022
PatrickMahomes,KAN,2022,PatrickMahomes2022,KAN2022
JustinHerbert,LAC,2022,JustinHerbert2022,LAC2022
MatthewStafford,LAR,2022,MatthewStafford2022,LAR2022
DerekCarr,LVR,2022,DerekCarr2022,LVR2022
TuaTagovailoa,MIA,2022,TuaTagovailoa2022,MIA2022
KirkCousins,MIN,2022,KirkCousins2022,MIN2022
JameisWinston,NOR,2022,JameisWinston2022,NOR2022
MacJones,NWE,2022,MacJones2022,NWE2022
DanielJones,NYG,2022,DanielJones2022,NYG2022
ZachWilson,NYJ,2022,ZachWilson2022,NYJ2022
JalenHurts,PHI,2022,JalenHurts2022,PHI2022
MitchellTrubisky,PIT,2022,MitchellTrubisky2022,PIT2022
GenoSmith,SEA,2022,GenoSmith2022,SEA2022
TreyLance,SFO,2022,TreyLance2022,SFO2022
TomBrady,TAM,2022,TomBrady2022,TAM2022
RyanTannehill,TEN,2022,RyanTannehill2022,TEN2022
CarsonWentz,WAS,2022,CarsonWentz2022,WAS2022
