Player,Tm,Pos,Age,G,GS,PlID,TmID,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushYds/Att,RushTD/G,Tgt/G,Rec/G,RecYds/G,Yds/Rec,RecTD/G,Fmb/G,FL/G,TotTD/G,2PM/G,2PP/G,FPts,PosRk,OvRank,Yr,PPR/G,Starter,Next_Yr_PPG,Next_Yr_Starter
AhmadBradshaw,IND,RB,29,6,0,AhmadBradshaw2015,IND2015,0.0,0.0,0.0,0.0,0.0,5.167,14.167,2.74,0.0,2.333,1.667,10.667,6.4,0.5,0.0,0.0,0.5,0.0,0.0,42.9,81,282,2015,7.15,0,,
AhmadBradshaw,IND,RB,28,10,1,AhmadBradshaw2014,IND2014,0.0,0.0,0.0,0.0,0.0,9.0,42.5,4.72,0.2,4.7,3.8,30.0,7.89,0.6,0.3,0.2,0.8,0.0,0.0,154.5,27,108,2014,15.45,0,7.15,0.0
AhmadBradshaw,IND,RB,27,3,2,AhmadBradshaw2013,IND2013,0.0,0.0,0.0,0.0,0.0,13.667,62.0,4.54,0.667,2.667,2.333,14.0,6.0,0.0,0.0,0.0,0.667,0.0,0.0,41.8,75,287,2013,13.933,0,15.45,0.0
AhmadBradshaw,NYG,RB,26,14,12,AhmadBradshaw2012,NYG2012,0.0,0.0,0.0,0.0,0.0,15.786,72.5,4.59,0.429,2.214,1.643,17.5,10.65,0.0,0.214,0.214,0.429,0.0,0.0,179.0,18,82,2012,12.786,0,13.933,0.0
AkeemHunt,KAN,RB,24,15,0,AkeemHunt2017,KAN2017,0.0,0.0,0.0,0.0,0.0,0.533,1.533,2.88,0.0,0.467,0.267,2.067,7.75,0.0,0.0,0.0,0.0,0.0,0.0,9.4,129,432,2017,0.627,0,,
AkeemHunt,HOU,RB,23,8,0,AkeemHunt2016,HOU2016,0.0,0.0,0.0,0.0,0.0,2.5,13.625,5.45,0.0,0.5,0.375,3.625,9.67,0.0,0.25,0.0,0.0,0.0,0.0,16.8,103,377,2016,2.1,0,0.627,0.0
AkeemHunt,HOU,RB,22,7,1,AkeemHunt2015,HOU2015,0.0,0.0,0.0,0.0,0.0,2.429,13.714,5.65,0.0,1.429,0.857,5.571,6.5,0.0,0.0,0.0,0.0,0.0,0.0,19.5,113,387,2015,2.786,0,2.1,0.0
AlanCross,TAM,TE,25,14,3,AlanCross2018,TAM2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.143,0.643,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,108,495,2018,0.207,0,,
AlanCross,TAM,TE,24,8,4,AlanCross2017,TAM2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.625,7.25,11.6,0.0,0.0,0.0,0.0,0.0,0.0,10.8,81,423,2017,1.35,0,0.207,0.0
AlanCross,TAM,TE,23,14,0,AlanCross2016,TAM2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.429,2.714,6.33,0.071,0.0,0.0,0.071,0.0,0.0,15.8,74,383,2016,1.129,0,1.35,0.0
AlbertOkwuegbunam,DEN,TE,23,14,6,AlbertOkwuegbunam2021,DEN2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,2.357,23.571,10.0,0.143,0.071,0.071,0.143,0.0,0.0,76.0,30,229,2021,5.429,0,,
AlbertOkwuegbunam,DEN,TE,22,4,0,AlbertOkwuegbunam2020,DEN2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,2.75,30.25,11.0,0.25,0.0,0.0,0.25,0.0,0.0,29.1,63,349,2020,7.275,0,5.429,0.0
